Usuario,Año,NumPreguntas,TotalRespuestas,TotalComentarios,MediaRespuestas,MaxRespuestas
Ángel Ildefonso Mirón,2022,1,1,2,1.0,1
Manuel Iván Torres Pulido,2022,2,2,4,1.0,1
Pablo Ramos W.,2022,1,1,2,1.0,1
Todo-System Todo-System,2022,13,13,9,1.0,1
user276681,2022,1,0,0,0.0,0
Dancelot,2022,1,2,0,2.0,2
Cody Flexx 420,2022,1,0,12,0.0,0
Manu Olivares,2022,2,2,6,1.0,1
Teo,2022,1,2,3,2.0,2
Eipo,2022,3,3,1,1.0,1
francisco Andrade,2022,1,0,7,0.0,0
Caba,2022,2,2,2,1.0,1
Andres Felipe Hernandez,2023,14,19,13,1.36,3
Guillermo Sanchez,2023,1,1,0,1.0,1
Adrián,2023,4,3,3,0.75,1
Nando,2023,1,0,3,0.0,0
user329032,2023,1,1,0,1.0,1
OsitoMalvado,2023,1,0,1,0.0,0
user20725278,2023,1,0,3,0.0,0
lRoil,2023,1,0,3,0.0,0
TrasharTheDragon,2023,1,0,5,0.0,0
Mauro Petrini,2016,5,12,6,2.4,5
Veronica,2016,2,2,3,1.0,2
Antonio Marquez Jorge,2016,1,1,2,1.0,1
The_Chapu,2016,2,4,4,2.0,3
mulder,2016,1,1,3,1.0,1
Juan Fernandez Szkraba,2016,1,2,1,2.0,2
Rulogarcillan,2016,1,2,3,2.0,2
María,2016,1,1,1,1.0,1
Oscar Buentello,2016,1,5,2,5.0,5
Ignacio Copparoni,2016,1,0,2,0.0,0
Abel Reynalte,2016,1,1,8,1.0,1
Miguel Arias,2016,1,2,2,2.0,2
Antonio,2017,15,24,38,1.6,4
E.B,2017,2,2,1,1.0,1
Godeolo,2017,6,6,15,1.0,2
jose luis garcia,2017,3,4,4,1.33,2
Edgar Diaz,2017,3,3,11,1.0,2
norma,2017,4,6,21,1.5,2
kewap,2017,1,1,0,1.0,1
B4nshee,2017,1,1,1,1.0,1
M1394Mora,2017,3,4,6,1.33,2
Dyn,2017,6,12,13,2.0,5
Ropena,2017,1,1,2,1.0,1
VikDC,2017,2,0,6,0.0,0
javier guerrero,2017,5,6,21,1.2,2
Gabo Ruiz,2017,6,9,5,1.5,3
Fmcv Mcv,2017,4,3,11,0.75,1
Susje,2017,13,13,31,1.0,2
Luciana Montes Ruíz,2017,2,1,8,0.5,1
Dariel Ramos Díaz de Villegas,2017,21,22,26,1.05,3
JCstdio,2017,1,1,1,1.0,1
Javier Vargas,2017,1,3,5,3.0,3
mjuan,2017,2,3,9,1.5,2
Cesar Perez,2017,7,9,23,1.29,2
Jhilario,2017,1,3,1,3.0,3
roberto,2017,2,3,0,1.5,2
MarkTicus,2017,1,1,1,1.0,1
Bernardo Ramirez,2017,1,1,3,1.0,1
Abcdario,2017,1,1,1,1.0,1
TimeToCode,2017,3,4,4,1.33,2
Sempinternal Junior,2017,2,2,2,1.0,1
Daniel Aguilar,2017,1,1,4,1.0,1
Dalstron,2017,2,3,1,1.5,2
Nizar4790k,2017,1,1,1,1.0,1
Shareiv,2018,3,3,13,1.0,1
Héctor Huertas,2018,2,3,17,1.5,2
Sodro,2018,4,6,10,1.5,2
Javier fr,2018,36,32,98,0.89,2
Alexander,2018,9,11,15,1.22,5
Gloria López,2018,1,2,8,2.0,2
Vampy95,2018,2,2,6,1.0,2
Qarilucas,2018,2,6,4,3.0,5
Deivis Barrios,2018,2,1,4,0.5,1
Alnair,2018,1,1,2,1.0,1
user74897,2018,1,0,3,0.0,0
Jorge,2018,24,22,47,0.92,4
Ruben GA,2018,2,2,4,1.0,1
Juampi,2018,14,21,36,1.5,4
Bernal Bogantes Conejo,2018,1,0,3,0.0,0
Daniiela Garc. C,2018,1,3,0,3.0,3
Chama,2018,1,2,1,2.0,2
j-j suarez,2018,3,1,3,0.33,1
Juan Ramirez,2018,1,1,1,1.0,1
Cristian Paniagua,2018,1,1,2,1.0,1
David Joan,2018,1,0,0,0.0,0
Ricardo Orellana,2018,2,3,3,1.5,2
Miled,2018,3,7,2,2.33,4
JOSE HERRADA,2018,13,13,51,1.0,2
CodeBuilds,2018,1,1,1,1.0,1
Manticore,2018,1,3,6,3.0,3
ats93,2018,1,1,0,1.0,1
Diego,2018,3,3,2,1.0,1
Alejandro Estupiñán,2018,12,14,34,1.17,5
Rodrigo Neira,2018,1,1,0,1.0,1
miguel vega,2018,1,1,2,1.0,1
Darlyn,2018,1,2,1,2.0,2
José Daniel Mesa,2018,1,1,1,1.0,1
Carlos Escalante,2018,1,1,0,1.0,1
Alvaro Morales,2018,2,2,7,1.0,1
Salva Valladares,2018,1,0,2,0.0,0
Jacks,2018,7,10,27,1.43,3
dave,2018,1,2,0,2.0,2
Carlos Alberto Bastidas Bustam,2018,2,1,1,0.5,1
Cristian Ruiz,2018,1,1,2,1.0,1
erhickf,2018,1,0,2,0.0,0
Michael Salinas Rios,2018,1,1,1,1.0,1
Maddaux,2018,1,1,4,1.0,1
Lucas Jose Sola,2018,4,4,3,1.0,1
Raulitus,2018,1,1,0,1.0,1
Otto Szarata,2018,1,1,5,1.0,1
Leo,2018,2,2,2,1.0,1
alfredo rios,2018,1,1,1,1.0,1
Migavf Veintimilla,2018,1,1,3,1.0,1
Chemox,2018,2,4,0,2.0,2
Christopher Márquez,2019,1,1,1,1.0,1
Luis Alfredo Serrano Díaz,2019,20,21,30,1.05,3
G_Cortez,2019,3,3,3,1.0,1
PolloKulos,2019,19,27,46,1.42,3
Christian Juarez,2019,1,1,1,1.0,1
Fran Islas,2019,1,1,0,1.0,1
Abraham silva millan,2019,1,1,2,1.0,1
Valentín Sánchez Boto,2019,6,5,11,0.83,1
Stephen Hawk,2019,1,1,4,1.0,1
Guillermo Rodriguez,2019,1,1,2,1.0,1
Yair Trejo Castillo,2019,1,1,5,1.0,1
max power,2019,1,1,0,1.0,1
user11072367,2019,1,1,0,1.0,1
cmre1988,2019,1,1,2,1.0,1
user120307,2019,1,1,2,1.0,1
Nicolás Ramos Díaz,2019,4,2,17,0.5,1
Javi Perelda,2019,2,2,3,1.0,1
Edgardo Duarte,2019,1,1,1,1.0,1
kit,2019,33,49,76,1.48,4
Freddy Josias Herrera Becerra,2019,1,1,1,1.0,1
CarolAlex,2019,11,15,21,1.36,2
Rodrigo Secko,2019,1,0,2,0.0,0
user123977,2019,1,1,4,1.0,1
Armando Delgado,2019,3,2,3,0.67,1
Ali Maldonado,2019,7,6,5,0.86,2
Alan Fernando Casas Esparza,2019,2,3,1,1.5,2
javier partida molina,2019,2,0,3,0.0,0
Martin,2019,6,4,11,0.67,2
Borja Landaburu,2019,2,1,3,0.5,1
Iker Villanueva,2019,2,3,3,1.5,2
Javier Monzon,2019,1,1,2,1.0,1
Hector Medina Cornejo,2019,1,2,3,2.0,2
AdRiANerX,2019,2,4,1,2.0,2
GGCristo,2019,1,2,1,2.0,2
antonio05072019,2019,1,2,3,2.0,2
andeehr,2019,1,1,1,1.0,1
Antiwork,2019,1,1,0,1.0,1
Barri,2019,1,0,3,0.0,0
Adolfo Jose Suarez Rondon,2019,1,2,0,2.0,2
chaval18,2019,1,2,1,2.0,2
Radial0910,2019,1,0,3,0.0,0
juanjo,2019,1,1,0,1.0,1
Jhonny Perez,2019,1,3,0,3.0,3
Manuel García Alcalá,2019,1,0,3,0.0,0
Alejandro Inglés,2019,1,1,1,1.0,1
Israel Sánchez,2019,1,0,2,0.0,0
Juan Nonpa,2019,1,0,2,0.0,0
Alejandro Castan,2019,1,0,6,0.0,0
Gabriel Godoy Osses,2019,1,2,0,2.0,2
Felipe Alcantara Garcia,2019,2,2,2,1.0,1
Jose Hernandez Ibarra,2019,1,2,2,2.0,2
Javier Piña,2019,1,1,0,1.0,1
Alvaro Gallo,2020,1,1,2,1.0,1
FelixAVeras,2020,1,2,1,2.0,2
LuichiGamesHN,2020,1,0,2,0.0,0
Shiranui,2020,1,1,1,1.0,1
Emmanuel Gomez,2020,5,2,20,0.4,1
lisi1986,2020,1,1,2,1.0,1
Neiider Martinez Rivas,2020,4,9,1,2.25,4
marcos avila,2020,2,2,3,1.0,1
María Emilia Diaz,2020,2,1,4,0.5,1
Javier Amaya,2020,7,7,4,1.0,2
Maxi Jarque,2020,1,3,0,3.0,3
user160987,2020,1,1,0,1.0,1
Daryl Mendoza,2020,1,0,6,0.0,0
Andres Hernandez,2020,1,0,4,0.0,0
Sebastian Espinosa,2020,2,1,9,0.5,1
Pedro Manzano,2020,1,4,0,4.0,4
Lizarazo Andrey,2020,6,7,13,1.17,3
eftapunk,2020,1,1,3,1.0,1
MaoItachi,2020,2,0,4,0.0,0
Nicolle,2020,1,1,1,1.0,1
Enrique Santibáñez,2020,4,4,9,1.0,2
Alberto Román,2020,1,1,7,1.0,1
Rubén Costa,2020,1,0,2,0.0,0
Eduardo Hurtado,2020,1,1,1,1.0,1
alvaroquin,2020,1,1,5,1.0,1
bdaugero,2020,2,2,0,1.0,1
JustChivi,2020,1,1,0,1.0,1
diego guillen,2020,2,2,5,1.0,1
Marcos Alexis Barrios Barreto,2020,1,1,2,1.0,1
George Seyer,2020,1,1,0,1.0,1
kisk,2020,2,1,4,0.5,1
IvanRamosO,2020,1,1,2,1.0,1
José Nuñez,2020,1,1,0,1.0,1
Lizeth_Es,2020,1,1,1,1.0,1
Malva,2020,1,1,0,1.0,1
Sebastian Mateus Villegas,2020,4,4,7,1.0,1
Aseth_,2020,1,1,1,1.0,1
Victor Maldonado,2020,1,0,0,0.0,0
El Tito Barte,2020,1,1,0,1.0,1
Eduardo Lillo,2020,1,0,2,0.0,0
lfam,2020,1,1,0,1.0,1
Drageir,2020,1,2,1,2.0,2
muunzoon,2020,1,1,2,1.0,1
Felipe Daza,2020,2,2,1,1.0,1
jose manuel sanchez rodriguez,2020,1,2,2,2.0,2
Outssiss,2020,1,1,0,1.0,1
Scottie,2020,1,0,8,0.0,0
Victor Rivera,2020,1,0,2,0.0,0
Jared Ü Herrera,2020,1,2,8,2.0,2
Santiago Urenda,2020,1,1,0,1.0,1
BlackHat,2021,14,8,33,0.57,2
JESUS DAVID RESTREPO DIAZ,2021,1,1,1,1.0,1
Richard Víquez Pérez,2021,12,10,22,0.83,2
Marcelo Pírez,2021,3,2,5,0.67,1
Juan Antonio De la Cruz,2021,1,1,1,1.0,1
David E. Luna M.,2021,2,3,10,1.5,2
lukiplay,2021,1,1,2,1.0,1
gabriel caballero,2021,2,3,5,1.5,2
AnxoDoTea,2021,11,11,21,1.0,2
homerThinking,2021,2,2,0,1.0,1
Cristhian Cobeñas Huamani,2021,2,2,4,1.0,2
h6gignacio,2021,6,7,19,1.17,2
Roger Matamoros,2021,1,0,2,0.0,0
aisak,2021,2,1,10,0.5,1
Luis Herrera,2021,1,1,0,1.0,1
Alpha,2021,2,0,7,0.0,0
eduar2083,2021,1,1,1,1.0,1
Antonia Herrera,2021,4,4,10,1.0,3
Poll0code,2021,1,1,1,1.0,1
RubenDTB,2021,1,1,0,1.0,1
Martín Adrián Rodríguez Zúñiga,2021,1,1,3,1.0,1
Weimar Muro Almeida,2021,1,0,5,0.0,0
Carlos Chirinos,2021,1,1,3,1.0,1
bitByte,2021,1,1,0,1.0,1
RubenTGT,2021,3,5,0,1.67,3
adrian,2021,2,2,5,1.0,1
Ronsito_XR1,2021,1,1,6,1.0,1
Tristán0,2021,1,1,0,1.0,1
MatiST00,2021,5,3,16,0.6,1
Lucas Ferreira,2021,2,3,4,1.5,2
Javier Barranco,2021,3,4,14,1.33,2
Stiven Carrero,2021,1,1,3,1.0,1
Aarón Bepop,2021,2,1,6,0.5,1
user243373,2021,1,1,1,1.0,1
LoboFJP,2021,1,0,0,0.0,0
facundo rodriguez,2021,1,1,2,1.0,1
Igmar Montenegro,2021,1,0,5,0.0,0
Felix Deliso,2021,1,1,3,1.0,1
PacoPepe,2021,15,16,15,1.07,2
Rodrigo Munita,2021,5,3,14,0.6,3
Cruz Danny,2021,1,1,0,1.0,1
Lumme,2021,1,0,3,0.0,0
itsZd,2021,1,2,0,2.0,2
Ricardo R,2021,1,1,1,1.0,1
pepote21,2022,3,4,10,1.33,2
Guillermo Uzner,2022,1,1,1,1.0,1
microwaveramen,2022,1,1,4,1.0,1
zRainBow,2022,1,1,2,1.0,1
ERHART,2022,1,1,3,1.0,1
Carlos Zapico Bello,2022,2,2,10,1.0,1
Raidel Lasalle Batista,2022,1,2,5,2.0,2
Aldeano,2022,4,2,5,0.5,1
Hugo Salcedo,2022,1,1,0,1.0,1
TOVAL SEGUROS,2022,1,1,3,1.0,1
Jules,2022,1,1,2,1.0,1
Vic Cervantes,2022,1,2,0,2.0,2
Regge,2022,1,1,0,1.0,1
Brigido,2022,1,1,3,1.0,1
Pous,2022,2,0,5,0.0,0
user292423,2022,2,2,2,1.0,1
noinsanc23,2022,1,1,0,1.0,1
Yesika G Gonzalez,2022,1,0,2,0.0,0
user296242,2022,1,1,1,1.0,1
Gómez Cano José,2022,1,0,3,0.0,0
Nicolás Legnazzi,2022,1,1,1,1.0,1
The Lú,2022,1,2,6,2.0,2
Nicolas Rudisky,2022,1,0,1,0.0,0
Jose Miguel Zorrilla Gimenez,2022,1,2,0,2.0,2
Jose Martinez,2022,2,1,5,0.5,1
Fredy Anem,2022,1,1,2,1.0,1
Tomás Rodríguez,2022,2,2,2,1.0,1
quinqui,2022,1,0,2,0.0,0
Fernandoibs,2022,1,1,1,1.0,1
Ross,2022,2,1,3,0.5,1
DiegoKiroz,2022,1,0,4,0.0,0
Ndmo,2023,7,4,24,0.57,1
María,2023,4,2,4,0.5,1
Marcelo Griotti,2023,1,0,0,0.0,0
Jorge Toledo Moreno,2023,1,1,3,1.0,1
Coconut_Monkey,2023,1,1,2,1.0,1
karl Domínguez,2023,3,3,2,1.0,1
Tomoya san,2023,2,0,1,0.0,0
Cristhian David Casco,2023,2,1,1,0.5,1
Miguel Chan,2023,1,0,0,0.0,0
perico palote,2023,1,1,0,1.0,1
Diego Ferraro,2023,1,0,0,0.0,0
wallet madrid,2023,1,0,0,0.0,0
Sheila,2023,1,1,3,1.0,1
Juan F. Pastor,2023,1,0,0,0.0,0
Trauma,2023,4,4,13,1.0,1
Chaoticsystem504,2023,1,1,0,1.0,1
user2048092,2023,2,0,6,0.0,0
Yo_Matías,2023,3,2,3,0.67,1
Superchicken,2023,1,0,0,0.0,0
MELANY PALOMARES,2023,1,0,1,0.0,0
Misahel Ragnahael,2023,1,0,0,0.0,0
Aland Ramirez Araiza,2023,3,3,12,1.0,1
pablo santiago sanchez,2023,1,1,0,1.0,1
starfly,2023,2,0,1,0.0,0
Victor Daniel Witoszek,2023,6,3,9,0.5,1
Cucho,2023,1,1,0,1.0,1
Murgueytio,2023,1,0,0,0.0,0
Axel Benitez,2018,1,1,1,1.0,1
ozmor,2018,1,1,2,1.0,1
David Ramírez,2018,1,1,0,1.0,1
MagicJHC10,2019,1,1,0,1.0,1
Ulises Charris,2019,1,0,2,0.0,0
Giuseppe Brandi,2019,1,2,2,2.0,2
pc404,2019,1,2,1,2.0,2
pablo22xb,2019,1,1,1,1.0,1
miguel_232,2019,1,3,4,3.0,3
Kevin Delva,2020,2,2,6,1.0,2
Steven Burgos Vargas,2020,1,0,2,0.0,0
rodrigo.rodriguez,2020,1,1,6,1.0,1
Juan Beltran,2020,1,1,0,1.0,1
Alejandro Piamba,2020,2,4,0,2.0,3
Rommel Campuzano,2020,1,2,0,2.0,2
Manuel Fernández,2020,1,0,2,0.0,0
Javier fr,2021,9,5,37,0.56,2
RuDaHee,2021,1,1,0,1.0,1
user112766,2021,14,16,17,1.14,2
AntoineCra,2021,1,1,5,1.0,1
Macali,2021,3,2,5,0.67,1
Reinaldo Pastran,2021,1,0,3,0.0,0
Enrique Carrasco,2021,1,2,1,2.0,2
Christian117,2021,1,1,2,1.0,1
Gotita11,2021,2,2,4,1.0,1
Diego Huite,2021,2,2,2,1.0,2
Alejandro Magnun,2021,6,5,26,0.83,3
Pedro Carrasco,2021,3,3,8,1.0,1
treZeta,2021,1,1,2,1.0,1
Walter Corpus,2021,1,0,0,0.0,0
DagsDroid,2021,1,1,1,1.0,1
Raul Molla,2021,1,0,2,0.0,0
Alvamon6,2021,1,1,4,1.0,1
Gus M Rodriguez,2022,1,0,4,0.0,0
Steven Velasquez,2022,1,1,1,1.0,1
Lucas Cabano,2022,1,2,1,2.0,2
Omar Anaya,2022,2,2,2,1.0,1
Rahoul,2022,1,2,1,2.0,2
Javier Alejandro,2022,1,1,1,1.0,1
Brenni Barreiro,2022,1,1,0,1.0,1
zaraterdz,2022,4,4,2,1.0,2
Junior Mestanza,2023,1,0,0,0.0,0
Ana,2023,3,4,0,1.33,2
Raul Senabre Tamarit,2023,1,0,3,0.0,0
Borja Lorenzo,2023,2,3,3,1.5,2
Edulon,2023,1,0,0,0.0,0
José David,2023,1,0,5,0.0,0
Pietro Valentino Yannelli Hand,2023,4,2,2,0.5,1
aldoemartinez,2023,1,0,9,0.0,0
MIGUEL LOPEZ,2023,1,0,1,0.0,0
Lautaroo,2023,2,1,4,0.5,1
Gabriel Ortiz,2023,1,0,2,0.0,0
LUIS MARTÍ,2023,1,0,1,0.0,0
Jorgesys,2016,4,8,5,2.0,2
Jatz o.o,2016,1,2,4,2.0,2
Yusniel Hidalgo,2016,7,8,26,1.14,3
Costa Mendez Tapia,2016,1,1,1,1.0,1
jccaceres01,2016,1,2,0,2.0,2
Dianne,2016,7,8,18,1.14,2
Joam Delgado,2016,2,3,5,1.5,2
reinoso199,2016,1,2,2,2.0,2
fuenk,2016,1,1,1,1.0,1
Angel Doza,2016,2,3,0,1.5,2
Nargles90,2016,1,1,0,1.0,1
KuraiDark23,2016,1,3,4,3.0,3
Montero,2016,5,11,1,2.2,4
salvador Godinez,2016,3,4,10,1.33,2
studiom2j,2016,1,4,10,4.0,4
OJVM,2016,1,1,0,1.0,1
Andrés Bustamante,2016,2,1,5,0.5,1
Alkuy,2016,1,1,6,1.0,1
Gabby_EC,2016,1,2,0,2.0,2
aquiso,2016,2,5,2,2.5,4
Doenitz Galán,2016,1,2,3,2.0,2
Christian Patiño,2016,1,1,0,1.0,1
Christian G,2016,2,1,4,0.5,1
kev,2017,2,2,10,1.0,1
John Lopez,2017,2,2,2,1.0,1
mao_614,2017,1,1,0,1.0,1
Edward Ceballos,2017,1,1,0,1.0,1
Cecilia,2017,2,2,8,1.0,1
Jose Rodriguez,2017,4,6,1,1.5,2
Nico Lucini,2017,1,0,3,0.0,0
Alberto Martínez,2017,8,11,16,1.38,2
sub,2017,2,2,0,1.0,1
TheMac,2017,1,1,3,1.0,1
Michael Bueno,2017,1,2,1,2.0,2
Andros,2017,3,7,6,2.33,3
dani t,2017,1,1,0,1.0,1
José Jesús Ochoa Torres,2017,1,1,0,1.0,1
Sebastian Gutierrez,2017,1,2,1,2.0,2
Cero,2017,1,1,3,1.0,1
Maicol Lenin,2017,6,11,13,1.83,3
Luis Angel Valderrama Orozco,2017,1,2,3,2.0,2
Arngue,2017,1,1,2,1.0,1
JCarlos25,2017,1,1,2,1.0,1
Manolait,2017,7,9,24,1.29,2
Walter Sanchez,2017,1,1,0,1.0,1
TheClash,2017,2,3,3,1.5,3
Miguel Ángel Mtz,2017,1,0,3,0.0,0
Kevin Gutierrez,2017,1,2,1,2.0,2
José Ramón Quintero García,2017,1,1,3,1.0,1
PrincessKawaii,2017,1,3,7,3.0,3
Angie Varela,2017,1,1,0,1.0,1
alejandro cruz,2017,1,1,1,1.0,1
Johann Sebastian Painevil Len,2017,3,5,9,1.67,4
J. Rodríguez,2017,12,17,70,1.42,3
Jorge Ponti,2018,2,1,1,0.5,1
roberto,2018,1,1,0,1.0,1
skycomputer2,2018,6,7,13,1.17,2
Victor Galvez Lopez,2018,3,3,4,1.0,1
user3826049,2018,1,2,1,2.0,2
Aldair Ruiz,2018,1,5,4,5.0,5
toyiyi,2018,1,1,11,1.0,1
EnMiPcFunciona,2018,18,22,43,1.22,3
Basicmix,2018,12,20,14,1.67,4
Martín Zino,2018,1,2,2,2.0,2
gadoves,2018,1,0,2,0.0,0
Hola,2018,1,1,2,1.0,1
Yesith,2018,1,2,0,2.0,2
Salpicaduras,2018,1,1,11,1.0,1
Juan Gallego Carasa,2018,1,1,2,1.0,1
Quiroz Luis,2018,2,2,3,1.0,1
Apyc,2018,1,1,0,1.0,1
Best Thony,2018,1,1,2,1.0,1
YorchSircam,2018,1,0,2,0.0,0
alba,2018,1,1,0,1.0,1
CLG,2018,2,2,4,1.0,1
kevin callupe santillan,2018,1,1,9,1.0,1
Leooo Queue,2018,1,1,2,1.0,1
jony alton,2018,2,3,2,1.5,2
Hermes Morales,2018,4,5,2,1.25,2
Alejandro Villamizar,2018,1,1,2,1.0,1
Ijsud,2018,6,9,9,1.5,3
Yamamoto AY,2018,7,10,9,1.43,2
Valen G.,2018,2,1,8,0.5,1
FranciscoBarreraPeñaloza,2018,1,0,3,0.0,0
CésarIriso,2018,1,2,0,2.0,2
Martires Alberto Orozco,2018,1,2,3,2.0,2
Ignacio,2018,2,1,6,0.5,1
Javi Tercero,2018,2,3,20,1.5,2
Johnatan De Leon,2018,3,4,1,1.33,2
Victor Daniel,2018,1,1,1,1.0,1
Remso Rojas Guevara,2018,1,2,4,2.0,2
BernalHD,2018,3,5,12,1.67,3
user105105,2018,1,2,1,2.0,2
Pablo Rodriguez,2018,1,2,0,2.0,2
Maikol Rico Perez,2018,1,1,2,1.0,1
Darkeniel,2018,1,1,3,1.0,1
S.Pardo,2018,1,1,0,1.0,1
Gloria Ximena,2018,1,1,6,1.0,1
user109867,2018,1,2,0,2.0,2
Joshua Toala,2018,1,2,3,2.0,2
Alex Rivas Carrillo,2018,1,0,3,0.0,0
Juanma,2018,1,1,0,1.0,1
Angel Luis Robles Preciado,2019,3,2,10,0.67,2
CristianHdXd,2019,7,6,10,0.86,1
Osvaldo Alvarado,2019,2,0,6,0.0,0
Android Facil,2019,4,1,12,0.25,1
user3802081,2019,2,4,7,2.0,2
KenetCh,2019,2,3,0,1.5,2
Martin Pilar Castillejo,2019,2,1,12,0.5,1
Luis Eduardo,2019,2,3,3,1.5,3
Josue Garcia,2019,1,1,0,1.0,1
Christian De Santis,2019,1,1,4,1.0,1
EDWIN,2019,1,1,1,1.0,1
Emma B.,2019,1,2,0,2.0,2
Jose Pablo Arancibia Linker,2019,2,2,3,1.0,1
marcelo c,2019,2,3,5,1.5,2
Ignacio Leizza,2019,1,0,3,0.0,0
Fredy Mauricio Diaz Vargas,2019,1,1,5,1.0,1
Adrian Segura,2019,1,0,5,0.0,0
Romero,2019,22,22,42,1.0,2
Joaquín Abreu,2019,2,2,5,1.0,1
Nicolas Echeverry,2019,3,0,18,0.0,0
Jesus Manuel Gonzalez Fernande,2019,1,0,3,0.0,0
rances5171,2019,1,3,2,3.0,3
Uriel Manzano,2019,1,1,1,1.0,1
user96431,2019,1,0,5,0.0,0
jair zea,2019,1,0,6,0.0,0
Luis Alonso López López,2019,1,1,0,1.0,1
Guivan,2019,1,1,0,1.0,1
mikey,2019,2,1,5,0.5,1
Wings of Raven,2019,1,1,1,1.0,1
Angel Quispe Apolinario,2019,1,1,3,1.0,1
Jair B,2019,3,5,8,1.67,2
Samuel Sobalvarro,2019,1,0,0,0.0,0
AlexCraviotto,2019,1,3,0,3.0,3
Nicolás Toro,2019,1,1,0,1.0,1
Ricardo Mendoza,2019,1,1,1,1.0,1
yaom1ng,2019,5,6,4,1.2,2
AGHA,2019,9,3,24,0.33,1
Ezequiel Gauto,2019,1,1,2,1.0,1
user142358,2019,1,1,0,1.0,1
LeandroX,2019,4,3,5,0.75,1
balsalob,2019,1,1,0,1.0,1
VICSAL,2019,1,1,0,1.0,1
because,2019,3,3,3,1.0,1
RuiAlbe,2019,1,2,0,2.0,2
Hilda Garcia de Serrano,2019,1,2,4,2.0,2
Edward Yagami,2019,1,1,0,1.0,1
Federico Rojas,2019,1,0,1,0.0,0
Daniel Esparza,2019,1,0,0,0.0,0
Zumikya,2019,2,3,14,1.5,2
Mario Pinto,2019,1,1,0,1.0,1
Miguel Falcón Castro,2019,1,2,0,2.0,2
user141568,2019,1,1,2,1.0,1
Tejada,2020,4,3,9,0.75,2
belen,2020,10,15,6,1.5,4
Woozie,2020,1,1,0,1.0,1
MARCO ANTONIO LUNA SALAS,2020,3,2,11,0.67,1
Kevin CZ,2020,4,3,10,0.75,1
Dante S.,2020,4,4,7,1.0,1
Edurex,2020,1,2,0,2.0,2
BlackSD,2020,1,1,5,1.0,1
Sandra Green,2020,1,0,7,0.0,0
carlos Dominguez,2020,1,1,0,1.0,1
Briza Puga,2020,1,1,0,1.0,1
emanuelle,2020,1,1,4,1.0,1
Christian Marassi,2020,2,1,4,0.5,1
user170056,2020,1,1,1,1.0,1
Santos,2020,9,7,45,0.78,2
Arb,2020,1,1,3,1.0,1
alejza,2020,3,0,12,0.0,0
Tatiana,2020,2,2,3,1.0,1
Brandol Cortez,2020,6,5,9,0.83,1
Raul Cruz,2020,1,0,2,0.0,0
Matias Boccardo,2020,1,1,1,1.0,1
Giovanni Arriagada,2020,1,0,2,0.0,0
Ariel Gustavo Sebastin Benitez,2020,1,0,2,0.0,0
Carlos Garcia,2020,2,1,3,0.5,1
Sebastián Yangali,2020,1,1,5,1.0,1
Danielnr,2020,6,3,9,0.5,1
Estefany Meneses Leon,2020,1,1,5,1.0,1
Esteban Niño,2020,1,2,2,2.0,2
Shocking-VII,2020,1,1,0,1.0,1
connie r.m.,2020,1,1,6,1.0,1
fedo.dev,2020,1,2,3,2.0,2
Stiven,2020,1,1,1,1.0,1
Daniel Tuzzo,2020,1,1,0,1.0,1
student-n,2020,1,1,2,1.0,1
jose manuel fuentes cardenas,2020,1,0,2,0.0,0
Camilo Peralta,2020,1,2,2,2.0,2
Eduardo Medrano,2020,4,4,9,1.0,2
Wilder Alejandro Lopez Ruiz,2020,1,0,2,0.0,0
Programador_J,2020,1,1,3,1.0,1
Crom,2020,1,2,2,2.0,2
DENX ROMERO,2020,1,1,0,1.0,1
Rod Chm,2020,1,1,2,1.0,1
Fernando Méndez,2020,2,3,0,1.5,2
padron,2020,1,0,1,0.0,0
Alberto Sánchez,2020,1,0,4,0.0,0
Ricardo Sanchez,2020,1,2,3,2.0,2
user19766,2020,1,0,2,0.0,0
joaquin b,2020,1,1,1,1.0,1
Osiris Alvarezz,2021,1,1,0,1.0,1
Jose,2021,23,27,37,1.17,3
Luccyan,2021,1,1,0,1.0,1
Juan Castro,2021,2,0,5,0.0,0
Federico Moontero,2021,1,1,0,1.0,1
Osdward,2021,7,5,23,0.71,1
Hekhy,2021,2,2,0,1.0,1
German Quiñones,2021,1,1,6,1.0,1
MIKER,2021,1,2,2,2.0,2
Yafel GH,2021,2,2,2,1.0,1
Arsenbasha,2021,5,5,4,1.0,2
timo fabregat,2021,3,2,8,0.67,1
arcast,2021,1,1,3,1.0,1
Borja,2021,2,2,0,1.0,1
yeferson cordoba,2021,1,1,3,1.0,1
Ignacio Zañartu Höppner,2021,1,1,7,1.0,1
Cristofer Guardia,2021,1,0,2,0.0,0
Moises Hernandez,2021,1,0,4,0.0,0
Alejandro Arias,2021,3,4,2,1.33,2
Guille13,2021,1,2,0,2.0,2
Juan Alvarez,2021,2,2,0,1.0,1
GEV,2021,2,2,5,1.0,1
Alexander Carrero,2021,1,2,0,2.0,2
Kingastro,2021,3,3,8,1.0,1
Lucas Lopez,2021,3,5,9,1.67,2
Fabricio Benitez,2021,1,1,2,1.0,1
Novato00,2021,2,3,1,1.5,2
TurboCat,2021,1,1,0,1.0,1
Esteban Londoño Ospina,2021,3,1,5,0.33,1
juangabriel17,2021,2,1,2,0.5,1
Freyre Gonzalez,2021,1,0,0,0.0,0
Tony Angello,2021,1,1,1,1.0,1
